,medical_abstract,condition_name,abstract_token_count
58,"Photochemotherapy improves chronic cutaneous graft-versus-host disease. We have used oral psoralen photochemotherapy (PUVA) to treat four patients with chronic graft-versus-host disease of the skin, oral mucosa, and liver, who had responded only partially to long-term immunosuppressive therapy (prednisolone, cyclosporine, azathioprine). PUVA therapy was delivered to the entire skin but not to the oral mucosa, and immunosuppressive therapy was continued in all patients. Two patients' skin lesions improved considerably; the oral lesions healed and did not recur in one. Immunosuppressive therapy could be reduced in these two patients. One patient with sicca signs did not improve. One patient had to interrupt PUVA therapy because of side effects attributed to 8-methoxypsoralen (nausea and vomiting). No flare of acute cutaneous graft-versus-host disease was noted during PUVA therapy. Chronic graft-versus-host disease of the liver did not improve in any patient. ",general pathological conditions,159
59,"Neuropsychological performance in medicated and unmedicated patients with Tourette's disorder. OBJECTIVE: To date, there have been no formal investigations of neuropsychological performance in patients with Tourette's disorder who are taking psychotropic medications. The authors conducted this study to provide such information. METHOD: They examined the neuropsychological performance of 96 patients 6-18 years old who met DSM-III-R criteria for Tourette's disorder; 51 of these patients were taking neuroleptic medications and 45 were not. The groups were well matched with regard to age, sex, education, and duration of symptoms. Each group was given a complete neuropsychological test battery as well as instruments rating symptoms of Tourette's disorder, obsessive-compulsive characteristics, and other behavioral disturbances. RESULTS: The patients taking medications did not differ from those not taking medications on any of the neuropsychological, intellectual, or educational measures. In addition, the groups did not differ with regard to level of Tourette's disorder symptoms. CONCLUSIONS: The results of this investigation suggest that patients with Tourette's disorder who do not experience intolerable side effects from neuroleptic medications are able to perform on educational, intellectual, and neuropsychological tests at a level comparable to that of unmedicated patients. These results have positive implications for patients with Tourette's disorder who respond to neuroleptic medications. ",nervous system diseases,237
60,"Pregnancy-induced hypertension and acute fatty liver of pregnancy: atypical presentations. Severe pregnancy-induced hypertension and markedly elevated levels of serum alkaline phosphatase developed in a 29-year-old-woman in whom one pregnancy resulted in intrauterine death. Acute fatty liver of pregnancy developed with good fetal outcome in the next pregnancy. This case suggests that pregnancy-induced hypertension and acute fatty liver of pregnancy are part of a clinical spectrum. Moreover, classic abnormalities of liver function tests need not be present in acute fatty liver of pregnancy. ",cardiovascular diseases,89
61,PTCA of gastroepiploic bypass. A technique for percutaneous transluminal coronary angioplasty (PTCA) of gastroepiploic bypass is described using standard PTCA devices. Severe spasm of gastroepiploic bypass occurred. Modification of guide catheter position is suggested to avoid inducing gastroepiploic bypass spasm. ,general pathological conditions,46
62,"Dental extraction for patients on oral anticoagulant therapy. Dental extraction in patients receiving long-term oral anticoagulant therapy is a controversial issue. Continuation of anticoagulation exposes the patient to serious hemorrhage, whereas cessation of therapy increases the risk of thromboembolism. Forty patients treated by coumarin underwent 63 tooth extractions, without a change in the therapeutic protocol of anticoagulation. The biologic adhesive Beriplast was used successfully to achieve local hemostasis at the site of the surgical wound. Apart from one patient who had mild oozing, there were no incidences of postsurgical hemorrhage. ",cardiovascular diseases,99
63,"Ph-negative chronic myeloid leukemia: molecular analysis of ABL insertion into M-BCR on chromosome 22. Leukemic cells from a patient with Ph-negative chronic myeloid leukemia (CML) had a normal karyotype. M-BCR was rearranged and chromosome in situ hybridization showed an ABL insertion between 5' and 3' M-BCR on an apparently normal chromosome 22. The association of 5' BCR and 3' ABL at the 5' junction of the chromosome 9 insert was typical of that found for the BCR-ABL fusion gene in other patients with the standard t(9;22) and CML. With an M-bcr-3' probe, we cloned and characterized a 3' junction fragment. Field inversion gel electrophoresis and chromosome in situ hybridization studies using a probe isolated from genomic DNA 5' of the junction showed that 3' M-BCR was joined to a region of chromosome 9q34 rich in repetitive sequences and lying some distance 3' of ABL. The chromosome 9 insert was at least 329 kilobases long and included 3' ABL and a larger portion of chromosome 9q34. Our results allowed us to exclude transposon- or retroviral-mediated insertion of ABL into chromosome 22. Instead, we favored a two-translocation model in which a second translocation reconstituted a standard t(9;22)(q34;q11) but left the chromosome 9 insert, including 3' ABL, in chromosome 22. ",neoplasms,250
64,"Extraperitoneal endarterectomy for iliofemoral occlusive disease. Sixty patients with iliofemoral occlusive disease were treated by autogenous anatomic reconstruction by endarterectomy. Endarterectomy was performed extra-peritoneally by the eversion technique. The operative technique and its advantages and disadvantages are discussed. Six patients had postoperative complications of acute anastomotic hemorrhage (two patients), would hematoma (two patients), and atelectasis (two patients). Sixty patients discharged with patient arterial reconstruction were followed up from 5 months to 17 1/2 years, with a mean follow-up of 53 months. There were no other vascular complications. Seventy limbs were at risk during this period, with an accumulative patency rate of 80.4% at 5 years and 71.4% at 10 years. There were 11 occlusions of the external iliac artery and one stenosis of the common femoral artery. Failures occurred mainly in the external iliac artery, which appears to be the limiting factor in the continued patency of endarterectomy. There were 18 deaths (30%). Nine deaths were attributed to the complications of arteriosclerosis. ",cardiovascular diseases,190
65,"Specific supersensitivity of the mesenteric vascular bed of Dahl salt-sensitive rats. Dahl salt-sensitive (DS) and salt-resistant (DR) rats were maintained on a diet containing normal (0.45%) or high (7%) salt for 5 days. The DS rats had slightly higher systolic blood pressures than DR rats, although a high salt diet failed to significantly elevate pressure in either group when compared with their appropriate (low salt diet) controls. The sensitivity of the isolated, perfused mesenteric vasculature from DS rats fed a high salt diet to nerve stimulation was greater when compared with all other groups in the presence or absence of cocaine (1 microM). A similar difference in sensitivity between high salt DS rats and high salt DR rats to bolus injections of norepinephrine was observed only in the presence of cocaine. The change in sensitivity was characterized by a leftward shift of the dose-response curve without a change in maximum response. No difference in sensitivity between the high salt DS group and any other treatment group was observed in response to the pressor agents KCl, angiotensin II, 5-hydroxytryptamine or the depressor agent acetylcholine. These data indicate that DS rats on a short-term, high salt diet possess a significant and specific elevation in sensitivity to nerve stimulation and norepinephrine in the absence of an increase in blood pressure. Differences in the effectiveness of cocaine among the groups suggest that differences may exist in neuronal uptake (uptake 1). ",cardiovascular diseases,266
66,"Extramedullary blast crisis in a patient with Philadelphia chromosome-positive chronic myelogenous leukemia in complete cytogenetic remission. Treatment of Philadelphia (Ph) chromosome-positive chronic myelogenous leukemia (CML) with recombinant interferon-alpha (IFN-A) results in complete disappearance of the Ph chromosome in about 10% to 15% of patients in early chronic phase. This group has a long survival and very low incidence of blast crisis. The first known case is reported of extramedullary blastic transformation in a patient with medullary complete cytogenetic response (0% Ph-positive metaphases) to IFN-A. Four episodes of extramedullary blast crisis have occurred in this patient. The first three episodes were lymphoid by morphology and cytochemical stains. Molecular analysis confirmed breakpoint cluster region rearrangement. The most recent transformation was myeloid in nature and involved bone and pulmonary parenchyma. The patient is currently undergoing a second autologous transplantation with stored bone marrow that is Ph negative. The patient has survived more than 18 months since the first episode of blast crisis, and the bone marrow is normal. ",neoplasms,187
67,"Occult vascular malformations of the optic chiasm: magnetic resonance imaging diagnosis and surgical laser resection. Angiographically occult vascular malformations of the optic nerve and chiasm are extremely rare. Before the advent of magnetic resonance imaging (MRI), it was difficult to diagnose these lesions preoperatively. We report MRI scan findings of optic chiasm cavernous angiomas in two patients with chiasmal syndrome. MRI was useful in localizing the vascular malformation and delineating its characteristics, especially chronic hemorrhage. One patient underwent biopsy of the lesion. The other patient underwent complete microsurgical resection of the malformation with the carbon dioxide laser with preservation of vision. Occult vascular malformations of the optic nerve and chiasm may be a more common cause of visual deterioration than previously recognized. The MRI scan is the imaging modality of choice for diagnosing and following these lesions. In certain patients, these vascular malformations may be amenable to complete surgical removal with stabilization or improvement of visual function. ",nervous system diseases,173
68,"Estimation of myocardial infarct size with ultrasonic tissue characterization. BACKGROUND. Ultrasonic tissue characterization (UTC) can distinguish normal from infarcted myocardium. Infarcted myocardium shows an increase in integrated backscatter and loss of cardiac cycle-dependent variation in backscatter. The cyclic variation of backscatter is closely related to regional myocardial contractile function; the latter is a marker of myocardial ischemia. The present study was designed to test the hypothesis that intramural cyclic variation of backscatter can map and estimate infarct size. METHODS AND RESULTS. Transmural myocardial infarction was produced in 12 anesthetized, open-chest dogs by total occlusion of the left anterior descending coronary artery for 4 hours. A real-time ultrasonic tissue characterization instrument, which graphically displays integrated backscatter Rayleigh 5, cardiac cycle-dependent variation, and patterns of cyclic variation in backscatter, was used to map infarct size and area at risk of infarction. Staining with 2,3,4-triphenyltetrazolium chloride (TTC) and Patent Blue Dye was used to estimate infarct size and the area at risk, respectively. The ratio of infarct size to area at risk of infarction determined with UTC correlated well with that determined with TCC (r = 0.862, y = 23.7 +/- 0.792x). Correlation coefficients for infarct size and area at risk were also good (r = 0.736, y = 12.3 +/- 737x for infarct size and r = 0.714, y = 5.80 +/- 1.012x for area at risk). However, UTC underestimated both infarct size and area at risk. CONCLUSIONS. Ultrasonic tissue characterization may provide a reliable, noninvasive method to estimate myocardial infarct size. ",cardiovascular diseases,285
69,"Temporal bone findings in two cases of head injury. Temporal bone findings in two cases of head injury are reported. In one patient, longitudinal fractures occurred in both temporal bones, and extended to the middle ear bilaterally. Bleeding was seen in the tympanic cavity, mastoid air cells, internal auditory meatus and facial nerve canal. Bleeding was observed in the scala tympani, cochlear aqueduct and endolymphatic sac, but there were no fractures. In the other patient, bleeding was seen in the internal auditory meatus and facial nerve canal. In the right ear, endolymphatic hydrops was observed in all turns of the cochlea. ",general pathological conditions,116
70,"Medical management of acute traumatic rupture of the aorta. Surgical reconstruction is the treatment for acute traumatic aortic rupture and should be accomplished immediately in most patients. In patients in whom concomitant injuries or the development of life-threatening complications preclude safe and successful aortic reconstruction, pharmacological intervention to reduce the risk of free aortic rupture may be considered. Surgical reconstruction can then be more safely performed under controlled elective circumstances. ",cardiovascular diseases,75
71,"Thigh muscle function after partial tear of the medial ligament compartment of the knee. The purpose of the study was to assess the isokinetic and isometric strength and power profile of the knees of 48 patients who had a previous second-degree sprain (partial tear) of the medial ligament compartment, the most common knee ligament injury in sports. The CYBEX II isokinetic dynamometer was used in the measurements. On an average of 8 yr after the injury, the mean strength deficit of the injured knees was minimal: 4 +/- 5% (range 0-28%) in extension and 2 +/- 4% (0-20%) in flexion. The average strength score (max. 100 points) was 90 +/- 11 (56-100), representing an excellent classification. In hamstrings, the relative strength deficit increased significantly with a higher speed of isokinetic movement (P less than 0.05). Compared with the strength parameters (peak torques), the other functional parameters of the injured knees (total work, average power, and peak torque acceleration energy) showed some but not significantly greater deficits (hamstrings 9-11%, quadriceps 6-8%). In conclusion, the general thigh muscle function in knees with old second-degree sprain of the medial ligament compartment appears good and acceptable, but the strength deficits are systematically greater in higher speeds of isokinetic movement. Therefore, rehabilitation utilizing high speed extension and flexion exercises is recommended. ",nervous system diseases,262
72,"Vagus nerve stimulation in humans: neurophysiological studies and electrophysiological monitoring. Evidence from studies of experimental animals indicates that electrical stimulation of the vagus nerve alters behavioral and electrographic seizure activity. We report on effects of electrical stimulation of the vagus nerve in five patients with medically intractable seizures as part of a clinical trial of chronic vagal stimulation for control of epilepsy. The mechanism of action of the vagal antiepileptic effect is unknown, and it is hoped that analysis of electrophysiological effects of vagal nerve stimulation will help elucidate which brain areas are affected. Stimulation of the left vagus nerve in the neck was accomplished with a programmable implanted stimulator. Effects of stimulus amplitude, duration, and rate were studied. Noncephalic reference recording of the vagus-nerve-evoked potential showed some unusual properties: a scalp negative component occurred with latency of 12 ms, very high amplitude (up to 60 microV), and widespread scalp distribution. Field distribution studies indicate that this potential is generated in the neck, in the region of the stimulating electrodes. Muscle paralysis confirms this observation. Stimulation at various frequencies had no noticeable effect on electroencephalographic (EEG) activity regardless of whether the patient was under general anesthesia, awake, or asleep. ",nervous system diseases,223
73,"Effects of inflammatory mediators on the responsiveness of isolated human airways to methacholine. Several studies have suggested that in asthmatics the quantities of inflammatory mediators such as histamine, thromboxane A2 (TxA2), prostaglandin D2 (PGD2), prostaglandin F2 alpha (PGF2 alpha), and leukotriene C4 (LTC4) that are present in the airway lumen are related to the degree of bronchial responsiveness to inhaled methacholine (MCh). Therefore, we studied the effect of these mediators on the cholinergic responsiveness of isolated human airway segments. Lung tissue collected at thoracotomy from 30 patients was studied. Dose-response curves to MCh were obtained from bronchial segments before, during, and after incubation with either a subthreshold or a threshold concentration of histamine (10(-10) or 10(-8) M), the stable TxA2 analogue U46619 (10(-11) or 10(-9) M), PGD2 (5 x 10(-9) or 5 x 10(-7) M), PGF2 alpha (10(-9) or 10(-7) M), or LTC4 (10(-11) or 10(-9) M). With the exception of LTC4, the presence of any of these mediators at either concentration increased the sensitivity to MCh by a factor of 1.1 to 2 (p less than 0.05, ANOVA). This increase did not depend on the dose of the mediator (p greater than 0.05, ANOVA). These data indicate that mediator-induced muscle hypersensitivity can explain a small part of the leftward shift of the dose-response curve to inhaled MCh as observed in asthma. ",general pathological conditions,298
74,"Hemodynamic effects of H2-receptor antagonists. Histamine H2-receptor antagonists (H2RAs) often are administered to intensive care unit patients in an attempt to reduce gastric acidity and to prevent stress-related mucosal damage. These agents have an extremely low overall incidence and severity of adverse reactions; however, hemodynamically significant hypotension has been noted. Clinical studies with rapidly administered intravenous cimetidine in critically ill patients have demonstrated a depression in blood pressure in up to 75 percent of patients. Ranitidine, also studied in this setting, does not appear to induce similar hemodynamic changes. The newer H2RAs, famotidine and nizatidine, have not been evaluated in critically ill patients. ",digestive system diseases,117
75,Catheterization of coronary artery bypass graft from the descending aorta. The increasing frequency of reoperation for coronary artery disease has led to the use of a variety of grafts. This report describes the catheter technique for selective opacification of a saphenous vein graft from the descending thoracic aorta to the posterior coronary circulation. ,general pathological conditions,56
76,"Anaplastic carcinoma presenting with cervical lymphadenopathy. We describe 50 patients with anaplastic carcinoma presenting with a mass in the neck. The diagnosis of anaplastic carcinoma was confirmed by immunocytochemistry to exclude very poorly differentiated squamous carcinomas, amelanotic melanoma, and non-Hodgkin's lymphoma. The primary site was established immediately in 26 patients (25 in the head and neck; 1 in the lung); a further 4 had radiological evidence of a primary tumour in the lung. The primary site was established later in 1 patient, in the ethmoid sinuses. In 20 patients the primary site was never established. The commonest primary site was the nasopharynx. The basic treatment policy was radiotherapy, although 20% of patients with a known primary tumour, and 50% of those without, were untreated. The 2-year survival was about 30% in both groups, and did not differ significantly. Prognostic factors for survival were age, performance status, and T status of the primary tumour. Sex, node status, node level, and laterality of nodes, were not. ",neoplasms,196
77,Transcranial electrical motor evoked potentials as a prognostic indicator for motor recovery in stroke patients. Transcranial electrical motor evoked potentials (MEP) were examined in 33 patients within three days after stroke. Normal values for MEP and motor central conduction time (CCT) were obtained in 46 healthy controls whose MEPs were evaluated during slight voluntary muscle contraction and at rest. Two months later 23 patients were re-examined clinically and electrophysiologically. Motor function change was correlated with MEP results. Two months after stroke the patients with normal or prolonged CCT had an improved motor function compared with those with absent CCT. MEP may be a valuable prognostic indicator in the acute stage of paralytic stroke for recovery of motor function. ,nervous system diseases,129
78,"Factors determining improvement in left ventricular function after reperfusion therapy for acute myocardial infarction: primacy of baseline ejection fraction. Improvement in left ventricular ejection fraction is a measure of salvage of ischemic myocardium after reperfusion therapy for acute myocardial infarction. The degree of improvement in left ventricular ejection fraction may be influenced by many factors. Therefore, 137 patients in whom paired radionuclide angiograms were obtained within 24 h of acute infarction and before hospital discharge were retrospectively evaluated to determine which factors most affect improvement in ejection fraction. Only baseline ejection fraction correlated significantly with improvement in ejection fraction by both univariate analysis (ejection fraction as a continuous variable; p less than 0.001; ejection fraction as a categorical variable, less than or equal to 45% versus greater than 45%, p less than 0.0001) and multivariate analysis (p less than 0.0001). Reperfusion status (patent versus occluded infarct artery) and extent of coronary artery disease (one, two or three vessel) were significant factors by multivariate but not by univariate analysis. Location of infarction, treatment modality and time to treatment did not correlate with change in ejection fraction by either statistical technique. Thus, of those factors tested, baseline left ventricular ejection fraction is the most potent predictor of improvement in ventricular function after acute infarction. Knowledge of baseline ejection fraction may be helpful in deciding whether to treat some patients with equivocal indications or contraindications for reperfusion therapy. Clinical trials of reperfusion strategies should stratify patients on the basis of baseline ejection fraction if ejection fraction is to be used as an end point for myocardial salvage. ",cardiovascular diseases,294
79,"Vascular renin and hypertension. Uptake versus synthesis. Conventional radioimmunoassay techniques demonstrated in the aortic wall a renin-like activity which is derived from plasma but has a longer half-life than plasma renin. Blood pressure elevation after renin injection into nephrectomized rats correlates better with aortic renin than with plasma renin. Vascular and other extrarenal tissue can also synthesize renin. Using a ribonuclease protection technique for the detection of renin messenger RNA we have been able to demonstrate that a wide variety of extrarenal tissues contain the renin message. In at least two of these, the brain and the liver, renin messenger RNA levels are unaffected by changes in dietary salt or by changes in systemic blood pressure. Functional studies using isolated human resistance vessels also demonstrate the presence of renin-like activity by a contractile response to added renin substrate. It is suggested that extrarenal tissues therefore contain renin-like activity derived both from uptake and from local synthesis. These systems may be regulated in different ways and may carry out different functions. ",cardiovascular diseases,182
80,"Stapling or suturing for anastomoses of the left side of the large intestine. Two hundred and fifty patients undergoing elective surgical treatment involving anastomoses of the left side of the colon or colon and rectum have been studied in a randomized trial in which the EEA (U. S. Surgical Corp.) circular stapler has been compared with single layer sutured anastomoses. Only patients in whom either technique was feasible were included in the analysis. The operative techniques were largely standardized. Patients were studied by means of a limited barium enema on the ninth or tenth postoperative day. The data have been analyzed for leakage rate (clinical and roentgenologic), other complications and degree of experience of the surgeon. Eleven patients were excluded from the analysis because the selected technique could not be carried out; of these, eight were in the stapled group in which it was possible to perform a sutured anastomosis. There were no instances in which it was possible to staple but not possible to suture. The remaining three exclusions were patients in whom either a coloanal anastomosis or a Hartmann procedure was performed. There was no over-all difference in the leakage rate--roentgenologic, clinical or total--between the two groups. However, when analyzed by the surgeon, the clinical leakage rate for surgeons in training was greater for sutured anastomoses than for stapled anastomoses (p = 0.053). Thus, it appears that the benefits of experience are more pronounced for sutured anastomoses but that, in experienced hands, neither technique is superior. ",general pathological conditions,279
81,"Extensive peripheral retinectomy combined with posterior 360 degrees retinotomy for retinal reattachment in advanced proliferative vitreoretinopathy cases. Posterior 360 degrees retinotomy in conjunction with extensive peripheral retinectomy was necessary for retinal reattachment in 18 eyes. A visual acuity of 20/400 or better was achieved in 22% of the patients; in patients with rubeosis, regression was found in 89%. Of the hypotonus eyes, preoperatively 78% were normotensive postoperatively after removal of anterior proliferative vitreoretinopathy (PVR) covering ciliary epithelium. The major intraoperative complication was hemorrhage, which could be readily controlled. Recurrent retinal detachment (RD) occurred in 39% and reproliferation in 50% of the patients. ",general pathological conditions,121
82,"Pneumococcal pneumonia in a rat model of cirrhosis: effects of cirrhosis on pulmonary defense mechanisms against Streptococcus pneumoniae. To study alterations in host defense mechanisms that enhance pneumococcal virulence, a model of Streptococcus pneumoniae pneumonia was developed in cirrhotic rats. Cirrhosis, with or without ascites, was produced in rats by intragastric administration of carbon tetrachloride (CCl4). Histopathologic and laboratory studies demonstrated that CCl4-induced cirrhosis was similar to alcoholic cirrhosis in humans. Cirrhotic rats were more susceptible to type 3 pneumococcal pneumonia induced by intratracheal challenge than controls, and the presence of ascites was associated with the lowest LD50. More cirrhotic rats with ascites had bacteremia and elevated levels of circulating capsular antigen after challenge compared with cirrhotic rats without ascites or controls. Pulmonary clearance of pneumococci was markedly reduced in rats with cirrhosis and ascites and was associated with reduced serum complement levels. This model may be useful in further studies of the pathogenesis and therapy of pneumococcal infections in the compromised host. ",general pathological conditions,178
83,"Latent sensitisation to respiratory syncytial virus during acute bronchiolitis and lung function after recovery. To determine whether latent sensitivity to respiratory syncytial virus antigen(s) occurs after infection, 27 infants with acute bronchiolitis were studied and compared with 15 hospital controls. Blood was collected for whole blood challenge, and histamine release was measured by a high performance liquid chromatography technique with fluorometric detection. There was a significantly greater histamine release to respiratory syncytial virus antigen(s) in those with bronchiolitis than in controls, expressed either in amount (median 154 nmol/l compared with 104 nmol/l) or percentage release (median 20% compared with 3%). There was a significant difference between index and control groups in terms of individual histamine responses. These findings strongly suggest that infants develop latent sensitivity to respiratory syncytial virus antigen(s) during the course of acute bronchiolitis. Serial lung function tests were performed in 15 infants. All infants had abnormalities of lung function at some stage, but the small numbers of subjects precluded comparison between 'sensitised' and 'non-sensitised' infants. Further study is indicated to define the relation of latent sensitisation and subsequent bronchial hyper-responsiveness after respiratory syncytial virus infection in infants. ",general pathological conditions,220
84,"A 47-kDa human nuclear protein recognized by antikinetochore autoimmune sera is homologous with the protein encoded by RCC1, a gene implicated in onset of chromosome condensation. Several autoimmune sera from patients with Raynaud phenomenon decorated mammalian kinetochores and bound to a 47-kDa protein on immunoblots of nuclear lysates. Antibody affinity-purified from immunoblots of the 47-kDa band recognized kinetochores, but due to crossreaction with an 18-kDa protein, localization remains elusive. We used one of these sera to purify the antigen from HeLa cells synchronized in mitosis as a noncovalent complex with a 25-kDa protein. The antigen was released from DNA by intercalation with 25 mM chloroquine. Ion-exchange chromatography yielded the pure complex with an apparent molecular size of 68 kDa, which was separated into its components by gel filtration in 6 M guanidinium chloride. Upon two-dimensional gel electrophoresis the 47-kDa protein gave two main spots of pI 6.6 and 6.7, respectively. Posttranslational modification is indicated by additional antigenic spots, by lack of a free alpha-amino group, and by chromatographic behavior of peptides on reversed-phase chromatography. The amino acid sequence for 205 residues of the 47-kDa protein has been established. This sequence is highly homologous with the translated reading frame of RCC1, a gene reportedly involved in regulating onset of mammalian chromosome condensation. ",cardiovascular diseases,229
85,"Antenatal phenobarbital for the prevention of periventricular and intraventricular hemorrhage: a double-blind, randomized, placebo-controlled, multihospital trial. To determine whether the neuroprotective properties of phenobarbital would alter the incidence and severity of intracranial hemorrhage in premature infants, we randomly assigned 110 women at less than 31 weeks of gestation to receive 10 mg/kg phenobarbital or placebo in a blinded fashion before delivery. Infants were examined postnatally with real-time ultrasonography for evidence of intracranial hemorrhage. Maternal demographics, pregnancy complications, antenatal management, and route of delivery did not differ between the phenobarbital group (n = 50) and the placebo group (n = 60). The total incidence of periventricular-intraventricular hemorrhage did not differ between the phenobarbital-treated (n = 54) and the placebo-treated (n = 67) infants. However, the frequency of grade 3 and grade 4 hemorrhages was 15% (10 infants) in the placebo group and 3.7% (2 infants) in the phenobarbital group (p less than 0.05). There were no differences in the severity of associated conditions in the babies to explain the difference in the incidence of severe hemorrhage between the study groups. We conclude that antenatal administration of phenobarbital appears to be effective in decreasing the severity of periventricular-intraventricular hemorrhage in infants delivered at less than 31 weeks of gestation. ",general pathological conditions,240
86,"Prediction of outcome in acute pancreatitis: a comparative study of APACHE II, clinical assessment and multiple factor scoring systems. The APACHE II severity of disease classification system has been examined prospectively in 160 patients with acute pancreatitis. Using clinical and simple laboratory data APACHE II was able to provide useful discrimination between uncomplicated, complicated and fatal attacks within a few hours of admission. Peak APACHE II scores (recorded during the first 3 days) had a prognostic accuracy similar to the multiple factor scoring systems, but then incurred a similar delay. Patients could be graded according to their risk of death or of developing a major complication; no deaths occurred in patients with a peak APACHE II score less than 10. APACHE II can be repeated daily, uncomplicated attacks demonstrating falling scores in association with clinical improvement, in contrast to the rising scores associated with clinical deterioration in those dying early. APACHE II appears to reflect any continuing disease activity and may prove a useful means of monitoring the course of the illness and response to therapy. ",digestive system diseases,192
87,"Efficacy of nimodipine in cerebral ischemia or hemorrhage. Our studies showed that in an appropriate dose, nimodipine increased local cerebral blood flow with no corresponding increase in local metabolism. Nimodipine treatment given before experimental ischemic insult, resulting from either vascular occlusion or intracranial hemorrhage or after subarachnoid hemorrhage, maintained or improved blood flow and minimized the severity of subsequent brain damage. Lack of benefit from nimodipine treatment after the insult may occur because the inexorable progression of events leading to ischemic neuronal damage, once initiated, cannot be arrested. On the other hand, pharmacokinetic factors may be important, and post-treatment efficacy may depend on administration protocols that achieve an adequate concentration in ischemic tissue sufficiently soon after an insult. Our findings are compatible with the benefit of nimodipine being due to an improvement in blood flow that reduces the severity of ischemia. However, they do not exclude the possibility that treatment may minimize the accumulation of calcium in damaged cells as a result of ""cytoprotective"" effects. ",cardiovascular diseases,183
88,"Reperfusion and readmission of oxygen. Pathophysiological relevance of oxygen-derived free radicals to arrhythmogenesis. We have examined the pathophysiological role of readmission of oxygen (and hence production of oxygen-derived free radicals) in the initiation of reperfusion-induced arrhythmias by separating, on a temporal basis, readmission flow from readmission of oxygen. Isolated rat hearts (n = 12/group) were subjected to 10 minutes of regional ischemia and 10 minutes of reperfusion. In controls reperfused with oxygenated solution (Po2 greater than 600 mm Hg), 92% of hearts developed ventricular fibrillation (VF) during the first 20 seconds of reperfusion, whereas in hearts reperfused with hypoxic solution (Po2 9.3-12.2 mm Hg), the incidence of VF was only 17% (p less than 0.05). Subsequent readmission of control solution (Po2 greater than 600 mm Hg) to the latter group led, within 20 seconds, to the appearance of VF in seven of the 10 hearts (70%) that had not previously fibrillated. To examine whether hypoxic reperfusion had prevented VF or merely delayed its onset, the studies were repeated in separate groups of hearts with the duration of hypoxic reperfusion extended to 5 minutes. In addition, to examine the partial pressure dependence of the relation, the Po2 in the reperfusion solution was set at one of five different levels: greater than 600, 150-192.7, 69-85.6, 9.2-14.8, or 0.0 mm Hg. It was found that hypoxia merely delayed VF onset by 20-40 seconds and did not significantly reduce the incidence of VF, which was 83%, 92%, 67%, 58%, and 58%, respectively. This indicated that readmission of oxygen is unnecessary for the initiation of VF during reperfusion. The hearts that reverted to sinus rhythm during the ensuing 5 minutes (n = 8, 4, 5, 9, and 8, respectively) were used to assess the arrhythmogenic consequences of readmission of oxygen. When control solution (Po2 greater than 600 mm Hg) was readmitted, new episodes of VF were elicited within 20 seconds in a manner that was inversely proportional to the preceding Po2 (p less than 0.05), the incidence of new episodes of VF being 0%, 0%, 40%, 67%, and 86%, respectively. The arrhythmogenic effect of readmission of oxygen was not the result of a sudden increase in heart rate, because a similar arrhythmogenic effect of readmission of oxygen was seen in separate groups of hearts that were paced (350 beats/min) throughout hypoxia and readmission of oxygen. In conclusion, readmission of flow and readmission of oxygen are independent determinants of reperfusion-induced arrhythmias.(ABSTRACT TRUNCATED AT 400 WORDS). ",general pathological conditions,499
89,"Repetitive conservative surgery for recurrence of endometriosis. We evaluated the recovery of fertility and the relief of pain symptoms in a long-term follow-up of 42 women undergoing repetitive conservative surgery for recurrent endometriosis. The mean age of the patients was 31.1 +/- 4.3 years. At the time of their second operation the disease was stage IV in 14 women, stage III in 25, and stage I in three. After reoperation, the patients were followed for a mean period of 41.8 +/- 30.3 months. Pain symptoms returned in eight women, dysmenorrhea and deep dyspareunia in eight, and pelvic pain in seven. Eight of the 28 women (28.6%) who attempted to conceive achieved a total of 13 pregnancies. The corrected pregnancy rate was 35%, and the cumulative rate at 27 months was 30.7%. A third operation was necessary in six women after a mean period of 35 months. Conservative surgery is an effective therapeutic option for infertile patients with recurrent endometriosis. ",general pathological conditions,180
90,"Dexamethasone increases plasma levels of albendazole. Therapy of neurocysticercosis with cysticidal drugs is frequently complicated by the exacerbation of symptoms that follows the inflammation triggered by the acute destruction of cysticerci. Treatment of such adverse reactions with dexamethasone is highly effective. However, it has been shown that dexamethasone lowers the plasma levels of praziquantel, thus reducing its cysticidal efficacy. We measured plasma levels of albendazole, another strong cysticidal drug, when dexamethasone was given simultaneously. We found that dexamethasone increased the plasma levels of albendazole by about 50% (P less than 0.002); hence, it seems that cysticercosis and the ensuing inflammation can be treated simultaneously with albendazole and dexamethasone without diminishing the efficacy of the cysticidal drug. ",nervous system diseases,131
91,"Severe hypertension after liver transplantation in alpha 1 antitrypsin deficiency. Five children with alpha 1 antitrypsin deficiency and terminal liver disease received liver grafts; all five became hypertensive and four developed hypertensive encephalopathy. There was evidence of renal disease preoperatively and renal biopsy specimens showed variable glomerulonephritic histology with IgA nephropathy in one, mesangial-proliferative changes in two, and mesangio-capillary glomerulonephritis type I in two. Four hypertensive episodes were preceded by a fall in creatinine clearance. The association of glomerulonephritis with alpha 1 antitrypsin deficiency in children is more common than has been recognised. Affected patients are prone to severe hypertension of probable renal origin after liver transplantation and the renal lesion may affect long term prognosis. ",general pathological conditions,125
